case_id,scene,agent_status,agent_steps,test_case_id,execution_id,execution_status,first_pass_success,self_heal_triggered,self_heal_count,healed,final_success,elapsed_seconds,error_summary,prompt,tool_calls
C-LOGIN-01,login,max_steps_reached,15,9da46a65-8bde-4992-8477-0942684870dd,122bf2ff-c294-4ae2-a274-571abf63f6b6,completed,True,False,0,False,True,170.42,Test Completed,"Open http://localhost:9528/login, enter username admin and password 111111, click the Login button, and verify the dashboard page shows name: Super Admin.",search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result
C-LOGIN-02,login,success,15,411e429a-0573-4eeb-a198-3767b955216c,12717ab3-b03b-4f74-8e36-980c83c76a77,completed,True,False,0,False,True,286.32,Step 3 completed Test Completed,"Visit http://localhost:9528/login, log in with admin / 111111, wait until the route contains /dashboard, and assert that Dashboard is visible.",search_knowledge -> search_knowledge -> generate_selenium_script -> generate_selenium_script -> validate_code -> generate_selenium_script -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> search_knowledge -> generate_selenium_script
C-LOGIN-03,login,success,8,3e2901d4-8c11-4ee8-b65d-b2673e337f35,edbf6acf-1bc7-4f38-acf1-d9ac10630a2f,completed,True,False,0,False,True,60.58,Test Completed,"Use Selenium to complete the vue-admin-template login flow at http://localhost:9528/login with username admin and password 111111, then verify the logged-in user text is Super Admin.",search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result
C-LOGIN-04,login,success,8,3700a773-3990-4fff-ab99-d148d4e8a713,,missing,False,False,0,False,False,230.62,,"Open the local login page http://localhost:9528/login, fill the username and password inputs, submit the form, and verify that the browser leaves the login page.",search_knowledge -> generate_selenium_script -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> search_memory -> generate_selenium_script
C-LOGIN-05,login,success,8,ee2144f7-05f0-4010-a9d5-28de69196378,7a9bb521-731d-425f-a22f-3304e4a5054c,completed,True,False,0,False,True,76.25,Test Completed,"Navigate to http://localhost:9528/login, perform a successful admin login, and confirm that the dashboard container is rendered.",search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result
C-LOGIN-06,login,max_steps_reached,15,6d4a746f-c721-4759-ae34-48a335067003,005eeda4-1261-426a-a03a-93cbc87a8119,failed,False,False,0,False,False,228.9,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\005eeda4-1261-426a-a03a-93cbc87a8119\initial\generated_test.py"", line 8, in <module>     driver.get(""http://localhost:9527/#/login"")   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 452, in get     self.execute(Command.GET, {""url"": url})   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoT","Test the login workflow of vue-admin-template: open the login URL, input admin and 111111, click Login, and assert that the Dashboard page is reached.",search_knowledge -> generate_selenium_script -> search_knowledge -> validate_code -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> diagnose_failure -> search_memory -> repair_script -> validate_code
C-LOGIN-07,login,max_steps_reached,15,8f2ae634-9550-4509-a5f1-ca098902ba03,8e596703-6de5-447e-81d4-8ed8a5270266,completed,True,False,0,False,True,175.85,Test Completed,Start from http://localhost:9528/login and verify that a valid admin login redirects to the dashboard and shows the Super Admin identity.,search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> search_memory -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result
C-LOGIN-08,login,success,13,392b2d05-ac89-4828-b4c5-7a44909fe6ab,d09f7cf5-adeb-4165-9d37-7c195c5a53a9,completed,True,False,0,False,True,209.77,Test Completed,"Open http://localhost:9528/login, wait for the Login Form, submit admin credentials, and check that the dashboard text appears after login.",search_knowledge -> generate_selenium_script -> search_knowledge -> search_knowledge -> search_knowledge -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> search_memory -> get_execution_result
C-TABLE-01,table,max_steps_reached,15,1dd87195-040c-4bfa-befa-c218050092a0,c812401d-764a-4ed8-84e4-ed3917c14c01,failed,False,False,0,False,False,271.07,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\c812401d-764a-4ed8-84e4-ed3917c14c01\initial\generated_test.py"", line 42, in <module>     table = WebDriverWait(driver, 10).until(             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stacktrace) seleni","Log in to http://localhost:9528/login with admin / 111111, open http://localhost:9528/example/table, wait for the Element UI table, and verify that the headers Title, Author, Pageviews, and Status are visible.",search_knowledge -> generate_selenium_script -> generate_selenium_script -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> search_memory -> get_execution_result -> get_execution_result -> search_knowledge -> search_knowledge -> get_execution_result -> repair_script
C-TABLE-02,table,max_steps_reached,15,5be4ef01-cd0f-4144-8195-e4d87c3a91e4,8c744def-4595-41cc-9b9d-9c5c47ae02f3,failed,False,False,0,False,False,185.46,"Traceback (most recent call last):   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\runs\8c744def-4595-41cc-9b9d-9c5c47ae02f3\initial\generated_test.py"", line 34, in <module>     example_menu = WebDriverWait(driver, 10).until(                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""D:\GitHub_repo\00_active\webui-autotest-agent\AutoTest_Backend\.venv\Lib\site-packages\selenium\webdriver\support\wait.py"", line 121, in until     raise TimeoutException(message, screen, stac","After logging in to the local vue-admin-template app, navigate to /example/table and verify that at least one table row is rendered.",search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> search_knowledge -> generate_selenium_script -> validate_code -> execute_script -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> get_execution_result -> search_memory -> search_knowledge
